z,idp1_intensity,idp2_intensity,rna_intensity
-27.5,0.003282666666666667,0.1288888888888889,0.09518933333333333
-26.5,0.0028057777777777777,0.128132,0.09552266666666666
-25.5,0.0027533333333333338,0.12811333333333333,0.09526133333333334
-24.5,0.0027515555555555557,0.130852,0.0960128888888889
-23.5,0.0027084444444444447,0.133912,0.09745333333333334
-22.5,0.0027955555555555555,0.1364662222222222,0.09904933333333334
-21.5,0.00302,0.13611155555555554,0.09898622222222221
-20.5,0.0033324444444444447,0.13477466666666668,0.09901644444444445
-19.5,0.0035524444444444444,0.13276577777777776,0.09960755555555556
-18.5,0.0037751111111111115,0.1317391111111111,0.09790977777777778
-17.5,0.004173777777777778,0.13072799999999998,0.09718088888888889
-16.5,0.004489777777777777,0.130476,0.09526711111111111
-15.5,0.004883555555555556,0.13304977777777777,0.09647333333333333
-14.5,0.006772888888888889,0.13995422222222223,0.09732844444444445
-13.5,0.011794666666666667,0.15122488888888888,0.10237511111111111
-12.5,0.022273777777777778,0.168376,0.11510933333333333
-11.5,0.046308888888888886,0.19533022222222224,0.13871866666666666
-10.5,0.09361733333333333,0.23003644444444446,0.1792511111111111
-9.5,0.17758000000000002,0.26917599999999997,0.23921199999999998
-8.5,0.30599066666666663,0.308236,0.3222773333333333
-7.5,0.4831582222222222,0.3380257777777778,0.4245377777777778
-6.5,0.6976297777777778,0.3509195555555556,0.537984
-5.5,0.9277897777777778,0.34764666666666666,0.64636
-4.5,1.1532462222222222,0.32752088888888886,0.7411053333333334
-3.5,1.3529688888888889,0.29252933333333336,0.8201715555555555
-2.5,1.5097946666666666,0.2606208888888889,0.8759937777777778
-1.5,1.611704,0.23394933333333331,0.9167124444444444
-0.5,1.6736355555555555,0.2162368888888889,0.938036
0.5,1.6922893333333333,0.2100897777777778,0.9446613333333334
1.5,1.671936,0.21338933333333332,0.936284
2.5,1.6072026666666668,0.22855244444444445,0.9152502222222222
3.5,1.4958128888888889,0.25364844444444445,0.87476
4.5,1.3378311111111112,0.28223155555555557,0.8172333333333334
5.5,1.1362635555555556,0.3089213333333333,0.7366106666666667
6.5,0.9156315555555555,0.32573511111111114,0.6369324444444444
7.5,0.688432,0.3238635555555555,0.5289724444444445
8.5,0.476296,0.30498355555555556,0.4204346666666667
9.5,0.3002964444444444,0.27557644444444446,0.3194048888888889
10.5,0.17196622222222221,0.2417191111111111,0.23408
11.5,0.090416,0.20622044444444443,0.17477111111111113
12.5,0.045541333333333336,0.17567955555555556,0.1361328888888889
13.5,0.023378222222222224,0.154592,0.1150671111111111
14.5,0.013242222222222221,0.14224133333333333,0.10512888888888888
15.5,0.009885333333333335,0.134188,0.10223555555555555
16.5,0.008288444444444444,0.13147733333333333,0.10202666666666667
17.5,0.0076217777777777785,0.13207288888888888,0.10306755555555557
18.5,0.006867111111111111,0.131236,0.104032
19.5,0.006226666666666667,0.12996355555555555,0.10384222222222222
